Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,Quarter,Weekday,Profit per Unit,Revenue per Unit,Margin Bucket
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,In-store,2020,2020-01,2020Q1,Wednesday,250.0,500.0,High
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000.0,150000.0,0.3,In-store,2020,2020-01,2020Q1,Thursday,150.0,500.0,Medium
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000.0,140000.0,0.35,In-store,2020,2020-01,2020Q1,Friday,140.0,400.0,Medium
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,In-store,2020,2020-01,2020Q1,Saturday,157.5,450.0,Medium
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,In-store,2020,2020-01,2020Q1,Sunday,180.0,600.0,Medium
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,In-store,2020,2020-01,2020Q1,Monday,125.0,500.0,Low
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000.0,312500.0,0.5,In-store,2020,2020-01,2020Q1,Tuesday,250.0,500.0,High
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet,2020,2020-01,2020Q1,Wednesday,150.0,500.0,Medium
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet,2020,2020-01,2020Q1,Tuesday,140.0,400.0,Medium
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129938.0,0.35,Outlet,2020,2020-01,2020Q1,Wednesday,157.50060606060606,450.0,Medium
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet,2020,2020-01,2020Q1,Thursday,180.0,600.0,Medium
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,Outlet,2020,2020-01,2020Q1,Friday,125.0,500.0,Low
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,1220,610000.0,305000.0,0.5,Outlet,2020,2020-01,2020Q1,Saturday,250.0,500.0,High
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500.0,138750.0,0.3,Outlet,2020,2020-01,2020Q1,Sunday,150.0,500.0,Medium
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet,2020,2020-01,2020Q1,Monday,140.0,400.0,Medium
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000.0,126000.0,0.35,Outlet,2020,2020-01,2020Q1,Tuesday,157.5,450.0,Medium
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850,510000.0,153000.0,0.3,Outlet,2020,2020-01,2020Q1,Wednesday,180.0,600.0,Medium
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet,2020,2020-01,2020Q1,Thursday,125.0,500.0,Low
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,Outlet,2020,2020-01,2020Q1,Friday,250.0,500.0,High
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet,2020,2020-02,2020Q1,Saturday,150.0,500.0,Medium
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000.0,126000.0,0.35,Outlet,2020,2020-02,2020Q1,Sunday,140.0,400.0,Medium
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129938.0,0.35,Outlet,2020,2020-02,2020Q1,Monday,157.50060606060606,450.0,Medium
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,495000.0,148500.0,0.3,Outlet,2020,2020-02,2020Q1,Tuesday,180.0,600.0,Medium
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet,2020,2020-02,2020Q1,Wednesday,125.0,500.0,Low
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,1220,732000.0,366000.0,0.5,Outlet,2020,2020-02,2020Q1,Thursday,300.0,600.0,High
